54,5,2016-01-21,3,1,12,2,613,1067,1,1,0,0,2,1,0,0,1,4,3,2,7,3,3,4,1,3,2
55,,2016-01-20,3,1,18,12,929,1024,0,1,0,0,2,3,0,0,5,3,2,1,8,3,1,4,2,4,1
56,4,2016-01-25,20,14,4,2,1036,912,0,0,0,0,2,1,1,1,2,3,4,2,9,2,0,3,4,2,2
57,4,2016-01-26,20,14,4,12,1010,912,0,0,1,1,0,0,1,1,2,3,3,3,6,5,1,2,4,4,1
58,4,2016-01-07,4,1,14,15,821,1001,0,2,0,0,1,1,0,0,2,3,5,1,8,3,0,4,3,3,1
59,4,2016-01-27,20,15,12,1,1104,898,0,0,0,0,0,2,1,1,1,4,4,2,8,3,3,2,5,0,4
60,5,2016-01-27,25,14,2,12,1140,862,0,1,1,0,1,2,0,0,2,5,3,2,5,7,0,4,3,2,3
61,9,2016-01-28,20,15,1,3,749,1011,0,1,0,0,0,3,0,1,3,1,5,1,4,6,1,1,3,3,3
62,4,2016-01-28,15,13,1,3,1035,1079,1,0,0,0,1,1,1,0,2,2,2,6,6,6,1,5,2,2,3
63,4,2016-01-28,15,26,3,1,1015,967,1,0,1,0,3,2,0,1,2,1,1,7,8,3,0,4,3,2,2
64,7,2016-01-29,15,10,1,4,1020,922,1,1,0,1,1,3,1,1,3,5,2,1,7,4,5,4,3,2,2
65,7,2016-01-29,15,10,4,1,1042,599,0,0,1,0,1,0,0,0,2,2,5,1,6,4,2,5,2,1,2
66,7,2016-01-22,1,14,4,12,1041,667,1,0,1,0,0,0,1,0,2,3,3,2,6,4,0,3,3,2,2
67,7,2016-01-22,1,12,4,14,1057,491,0,0,0,0,0,0,1,0,3,2,3,1,5,4,0,3,4,1,1
68,5,2016-01-28,2,26,1,17,1087,975,0,1,0,3,4,1,1,1,6,4,1,0,5,6,0,2,1,4,4
69,4,2016-02-01,3,20,1,15,1057,763,0,0,1,0,0,1,2,0,3,0,3,3,7,2,5,4,0,3,2
70,7,2016-01-28,1,15,13,3,730,1020,0,0,0,0,0,2,0,1,1,4,4,1,5,5,0,0,4,1,5
71,5,2016-02-01,20,22,3,12,1007,900,0,0,1,0,0,2,1,0,4,4,2,1,10,1,1,2,2,5,2
72,5,2016-02-03,20,15,22,2,1082,618,0,0,0,1,3,1,0,0,2,2,1,5,8,2,1,4,3,1,2
73,5,2016-02-03,20,15,22,2,1004,280,0,0,0,0,1,1,1,0,1,2,1,2,7,0,1,3,3,1,0
74,4,2016-02-04,20,15,14,3,1146,768,0,1,2,1,3,3,0,0,1,2,4,4,11,0,1,3,2,4,2
75,7,2016-02-04,20,22,15,10,1070,914,0,2,1,0,0,1,0,0,5,1,2,4,10,2,10,6,4,1,1
76,7,2016-02-04,20,22,15,10,1021,709,0,0,0,1,1,0,0,1,4,1,3,2,6,4,2,5,1,2,2
